number,value,datetime_start,datetime_complete,duration,params_batch_size,params_ent_coef,params_false_weight,params_jump_weight,params_learning_rate,params_missed_weight,params_n_epochs,params_n_steps,state
31,0.81234218,2026-03-26 14:52:33.912265,2026-03-26 15:22:02.663851,0 days 00:29:28.751586,64,0.00023627724126467202,0.14186603289165634,0.5093418529387148,0.00031112688380653843,1.3332713751246632,14,4096,COMPLETE
32,-1.3463022,2026-03-26 15:22:02.674669,2026-03-26 15:49:00.451890,0 days 00:26:57.777221,64,0.00043983380935815644,0.10276748786663079,0.6066520728234969,0.00016759997594827707,1.67417310387792,10,4096,COMPLETE
33,1.9495798399999997,2026-03-26 15:49:00.507865,2026-03-26 16:17:05.269644,0 days 00:28:04.761779,64,0.0007161774924702119,0.20650873274929732,0.7373787191787518,0.00045352121700134124,1.2330756005707564,12,4096,COMPLETE
34,-6.16584646,2026-03-26 16:17:05.284240,2026-03-26 16:44:15.884450,0 days 00:27:10.600210,64,0.00020371801353474115,0.3153658664980323,0.4577997189731891,0.0002490667566439756,4.475106351884703,10,4096,COMPLETE
35,0.19323002999999978,2026-03-26 18:50:10.144502,2026-03-26 19:19:21.430552,0 days 00:29:11.286050,64,0.0014051814854794278,0.15939067889860223,0.5625207248890466,9.496348935187881e-05,1.5585295001466872,15,1024,COMPLETE
36,-0.28964457,2026-03-26 19:19:21.444334,2026-03-26 19:46:58.381304,0 days 00:27:36.936970,64,0.006144783861560714,0.23419945431896852,0.8710810096530642,0.0007835206126192043,2.4380628382198726,7,4096,COMPLETE
37,-11.257112000000001,2026-03-26 19:46:58.393619,2026-03-26 20:12:49.938724,0 days 00:25:51.545105,128,0.00014698813382597298,0.9988387231078931,0.2456635976966795,1.6215107658333105e-05,3.316820486502758,12,2048,COMPLETE
38,-2.3190387099999996,2026-03-26 20:12:49.952318,2026-03-26 20:41:10.508593,0 days 00:28:20.556275,64,0.002825804620750637,0.1505777692585735,0.6500195944810618,1.0192923186187422e-05,1.839658165974073,14,1024,COMPLETE
39,-1.3156168600000004,2026-03-26 20:41:10.523302,2026-03-26 21:12:03.050815,0 days 00:30:52.527513,32,0.04217474841196548,0.792862185069113,0.49416768691184515,4.316789887408447e-05,2.095954858470083,9,4096,COMPLETE
40,-1.32728816,2026-03-26 21:12:03.065069,2026-03-26 21:43:23.664897,0 days 00:31:20.599828,64,0.000425087065757371,0.9077353476260945,0.37793924342383073,0.000524549276813253,1.2101045373803827,20,2048,COMPLETE
41,2.4316299999999997,2026-03-26 21:43:23.679896,2026-03-26 22:12:52.359161,0 days 00:29:28.679265,64,0.00029351480576130385,0.10052751178349413,0.7018409583943593,0.0002937714818238624,1.0030568517774145,11,4096,COMPLETE
42,1.2183549599999999,2026-03-26 22:12:52.373487,2026-03-26 22:42:23.634855,0 days 00:29:31.261368,64,0.00023570385081285588,0.14544046490666013,0.7407314087520539,0.00032423896187514997,1.1881236878006458,11,4096,COMPLETE
43,0.9033299800000001,2026-03-26 22:42:23.652116,2026-03-26 23:12:00.999758,0 days 00:29:37.347642,64,0.00010444958260115811,0.19791573690520753,0.617051748271066,0.00022456730381657073,1.5675362626666183,13,4096,COMPLETE
44,-0.10098572999999991,2026-03-26 23:12:01.012314,2026-03-26 23:44:11.670145,0 days 00:32:10.657831,32,0.0004236107271268003,0.13820407882025798,0.6839085834599685,0.0001590778654599355,1.781670261054866,11,4096,COMPLETE
45,3.4138379100000003,2026-03-27 09:47:29.795058,2026-03-27 10:14:24.228486,0 days 00:26:54.433428,64,0.011768042239313008,0.26890112994618115,0.848168848865283,0.0003726711992552962,1.0102250722070014,10,1024,COMPLETE
46,2.2572563900000002,2026-03-27 10:14:24.247239,2026-03-27 10:41:48.079780,0 days 00:27:23.832541,64,0.014163349481033568,0.28135451502350345,0.8621520265190277,0.0004113103799366514,1.4717252936892766,10,1024,COMPLETE
47,-0.07614834999999996,2026-03-27 10:41:48.090986,2026-03-27 11:10:33.041172,0 days 00:28:44.950186,32,0.033832747660764405,0.6065035052538085,0.974268637800041,0.0001881794396318466,1.2092712757117459,8,1024,COMPLETE
48,0.4305541600000001,2026-03-27 11:10:33.054885,2026-03-27 11:39:31.430530,0 days 00:28:58.375645,64,0.007185232771120386,0.4146150972745044,0.7410358866387668,0.00011413486019513347,1.2481799424730533,12,1024,COMPLETE
49,-1.9649477000000006,2026-03-27 11:39:31.446065,2026-03-27 12:07:22.779608,0 days 00:27:51.333543,128,0.004238952303848421,0.21514549306360858,0.9205615796672368,0.0006928003974900497,4.663139013235814,16,1024,COMPLETE
50,1.0231545499999997,2026-03-27 12:07:22.790571,2026-03-27 12:36:11.077117,0 days 00:28:48.286546,64,0.011168772656165326,0.13482605711839796,0.8617570523237399,0.00034310517835412933,2.060856154195906,13,1024,COMPLETE
51,2.27795144,2026-03-27 12:36:11.089600,2026-03-27 13:05:52.105429,0 days 00:29:41.015829,64,0.00025903856756226775,0.10906171786142806,0.670122167999982,0.0002657835368720082,1.048374931183608,11,4096,COMPLETE
52,-0.3079063900000002,2026-03-27 13:05:52.165458,2026-03-27 13:36:16.672962,0 days 00:30:24.507504,64,0.018293152559415174,0.1770401070816912,0.7067450005444827,0.0002186428420654861,1.0100489267363957,10,4096,COMPLETE
53,3.1229180499999996,2026-03-27 13:36:16.691570,2026-03-27 14:28:52.255676,0 days 00:52:35.564106,64,0.0007603651988868657,0.1100255477611653,0.5604770301838703,0.0002936950897263665,1.478053031168415,12,4096,COMPLETE
54,-0.9650377399999996,2026-03-27 14:28:52.267849,2026-03-27 14:58:19.446287,0 days 00:29:27.178438,64,0.0008870952592127142,0.26062185135641636,0.5636881647910956,0.0004277012052923833,1.7351911870177097,13,4096,COMPLETE
55,0.5200344400000002,2026-03-27 14:58:19.460807,2026-03-27 15:25:55.796158,0 days 00:27:36.335351,64,0.07297561694404328,0.17285742226300752,0.47282513035022716,0.0005544660509278597,1.5234617339486025,12,1024,COMPLETE
56,-0.46522985999999994,2026-03-27 15:25:55.855471,2026-03-27 15:55:05.494245,0 days 00:29:09.638774,64,0.0013239733294657322,0.33076450830366944,0.5230227487841098,0.00035546945287839496,1.4265328184303894,14,4096,COMPLETE
57,-2.0107758399999995,2026-03-27 15:55:05.506617,2026-03-27 16:23:20.560175,0 days 00:28:15.053558,64,0.002166159060287788,0.7279820357866482,0.626666956134343,0.0002785444582975437,2.3534004222120553,9,4096,COMPLETE
58,1.0847360900000005,2026-03-27 16:23:20.572785,2026-03-27 16:55:58.294603,0 days 00:32:37.721818,32,0.0007288267896336487,0.22108172164622883,0.42344903551612334,0.00012043046303305008,1.126673133800596,11,4096,COMPLETE
59,1.25376053,2026-03-27 16:55:58.310639,2026-03-27 17:22:30.327488,0 days 00:26:32.016849,64,0.0010770572701448975,0.1310698563705178,0.5826480982926023,0.0002156213012177757,1.3085932671571205,8,2048,COMPLETE
60,-1.2344947099999999,2026-03-27 17:22:30.339398,2026-03-27 17:51:32.039710,0 days 00:29:01.700312,64,0.0001371064702321271,0.5145422334239813,0.7883467914619825,7.936917214214957e-05,1.5965405894458051,13,4096,COMPLETE
61,1.98744252,2026-03-27 17:51:32.053196,2026-03-27 18:20:41.933212,0 days 00:29:09.880016,64,0.0003359198053562125,0.11819843957845387,0.6670507656152236,0.00030955001524865934,1.0052053364956053,11,4096,COMPLETE
62,3.3455127800000004,2026-03-27 18:20:41.947947,2026-03-27 18:49:58.971222,0 days 00:29:17.023275,64,0.00044147929507742635,0.10589917794538285,0.547250906419473,0.0002495841117490521,1.1534857348543646,12,4096,COMPLETE
63,2.27418286,2026-03-27 18:49:58.983240,2026-03-27 19:18:03.674381,0 days 00:28:04.691141,64,0.0004637486575206661,0.174892262738761,0.5426709843422369,0.0004939573890651167,1.377385997619291,12,4096,COMPLETE
64,2.54050493,2026-03-27 19:18:03.731374,2026-03-27 19:46:59.629153,0 days 00:28:55.897779,64,0.0005500613848161978,0.20372311475535726,0.48529749835296765,0.0001398806982202559,1.1657626937235472,12,4096,COMPLETE
65,-0.9074387500000002,2026-03-27 19:46:59.642587,2026-03-27 20:13:41.699633,0 days 00:26:42.057046,128,0.0007885007551738099,0.10029976861138934,0.6111308855915037,0.0003992038826332236,3.9816457890719525,13,4096,COMPLETE
66,-0.16784317,2026-03-27 20:13:41.712376,2026-03-27 20:42:31.030328,0 days 00:28:49.317952,64,0.001204665404960828,0.15046167842072228,0.5776868401292926,0.00024319863049515999,1.67363846315882,14,4096,COMPLETE
67,-1.87476779,2026-03-27 20:42:31.041331,2026-03-27 21:10:21.180889,0 days 00:27:50.139558,64,0.0015659896585627285,0.279335088254265,0.5216961104054684,0.0001868018179754644,1.4615709358778182,10,4096,COMPLETE
68,-2.6001147400000004,2026-03-27 21:10:21.194833,2026-03-27 21:40:09.085302,0 days 00:29:47.890469,64,0.0030260194347519493,0.24125927024509583,0.4172104680923085,0.0006504778497704741,3.056717814301802,15,1024,COMPLETE
69,2.6631736,2026-03-27 21:40:09.142291,2026-03-27 22:06:56.981961,0 days 00:26:47.839670,64,0.0016810648630554207,0.18608032187900025,0.12043401485135419,0.00037026427012603567,1.3321214106593495,12,4096,COMPLETE
70,-1.6653938599999998,2026-03-28 08:33:30.250734,2026-03-28 09:03:06.985491,0 days 00:29:36.734757,64,0.0003589830004155226,0.1312872876614476,0.8347022371664489,0.0004678298607999624,1.9788478675270034,14,4096,COMPLETE
71,2.21731131,2026-03-28 09:03:07.001889,2026-03-28 09:32:22.062310,0 days 00:29:15.060421,64,0.0018377034574190217,0.18867952099527635,0.0051950822543053304,0.00036260446092669784,1.3204223071219583,12,4096,COMPLETE
72,2.14145078,2026-03-28 09:32:22.118803,2026-03-28 10:02:14.783100,0 days 00:29:52.664297,64,0.0009626117107620071,0.16018544798131482,0.21270121277914122,0.0002710506398992704,1.143855669119293,13,4096,COMPLETE
73,2.61628926,2026-03-28 10:02:14.797670,2026-03-28 10:31:29.922029,0 days 00:29:15.124359,64,0.0006716099867952182,0.12917718171518175,0.07522017648109003,0.0003345788999153819,1.2792468215075594,12,4096,COMPLETE
74,-2.01239252,2026-03-28 10:31:29.935101,2026-03-28 11:02:57.060765,0 days 00:31:27.125664,64,0.002523828686699293,0.22344482166775187,0.2986659936393202,0.00016023870021067223,3.635706079459006,13,4096,COMPLETE
75,0.3441166099999999,2026-03-28 11:02:57.075265,2026-03-28 11:32:58.107437,0 days 00:30:01.032172,64,0.0017401514349322533,0.16882906024554822,0.1344741773653697,0.00024608733537363195,1.108093651413781,11,2048,COMPLETE
76,-0.4467485399999999,2026-03-28 11:32:58.120974,2026-03-28 12:04:38.290218,0 days 00:31:40.169244,64,0.003719027501396668,0.19810377950430952,0.6402975620795994,0.00020413041735104005,1.5373809055021943,11,4096,COMPLETE
77,-0.38092913,2026-03-28 12:04:38.306699,2026-03-28 12:36:16.183010,0 days 00:31:37.876311,128,0.00020649118397213052,0.1234670109218776,0.5525291696067134,0.00040804893732317236,1.4011453250399792,10,4096,COMPLETE
78,-0.012154550000000021,2026-03-28 12:36:16.195216,2026-03-28 13:07:27.249965,0 days 00:31:11.054749,32,0.000490618803959025,0.25844015835627604,0.7651061061764663,0.00057060573754615,1.7927464637873127,6,4096,COMPLETE
79,1.77484521,2026-03-28 13:07:27.263697,2026-03-28 13:38:09.354273,0 days 00:30:42.090576,64,0.004903309838746124,0.14680639994616085,0.5852187940185598,0.00030379834439072436,1.2785769556356517,12,1024,COMPLETE
80,1.9286950900000002,2026-03-28 13:38:09.367927,2026-03-28 14:09:19.091200,0 days 00:31:09.723273,64,0.00014121867329684796,0.10183968693735085,0.5025051030300762,0.00075464767691326,1.6647760567630003,9,4096,COMPLETE
81,2.6745764599999995,2026-03-28 14:09:19.105487,2026-03-28 14:40:04.502205,0 days 00:30:45.396718,64,0.0006044231692819443,0.15842285056233224,0.07471093069597241,0.00037353341713716775,1.2525764664014498,12,4096,COMPLETE
82,1.4096975100000002,2026-03-28 14:40:04.515213,2026-03-28 15:17:38.247602,0 days 00:37:33.732389,64,0.0006217082808027372,0.18643121530207288,0.06034893411566082,0.0003648216952836795,1.1156414022877856,13,4096,COMPLETE
83,2.6960070099999998,2026-03-28 15:17:38.262044,2026-03-28 15:47:26.961280,0 days 00:29:48.699236,64,0.00031657194499831894,0.15541580512306213,0.08286507937347128,0.000473683643440301,1.5052332863142326,12,4096,COMPLETE
84,0.38598541000000003,2026-03-28 15:47:26.977492,2026-03-28 16:18:39.530463,0 days 00:31:12.552971,64,0.000374121379490384,0.15681452832824577,0.06675228949241013,0.0004618650833963936,1.4684091833215118,11,4096,COMPLETE
85,-1.3370095400000006,2026-03-28 16:18:39.544565,2026-03-28 17:16:19.856443,0 days 00:57:40.311878,64,0.0002984367306347754,0.1291649329111688,0.6511100795839008,0.00029315881963013835,2.729601459402394,14,4096,COMPLETE
86,-0.1616441399999998,2026-03-28 17:16:19.874081,2026-03-28 17:50:24.779354,0 days 00:34:04.905273,64,0.00017651714927667547,0.29564338565819936,0.9499100626511603,0.0006031556508310388,1.5841418835451067,12,4096,COMPLETE
87,2.24626324,2026-03-28 17:50:24.796614,2026-03-28 18:21:50.216359,0 days 00:31:25.419745,64,0.0007975303710397856,0.11854871864688038,0.19055154408857994,0.0005038461088513011,1.2160056925997655,11,4096,COMPLETE
88,3.1802731399999997,2026-03-28 18:21:50.231250,2026-03-28 18:54:19.049332,0 days 00:32:28.818082,64,0.0005230832347772479,0.23203427110889646,0.4578521765177329,0.00023532622754761874,1.105932428481926,13,1024,COMPLETE
89,1.6756637500000005,2026-03-28 18:54:19.065080,2026-03-28 19:29:05.124917,0 days 00:34:46.059837,64,0.00024616579213965526,0.2282596837245413,0.455658453053575,0.00023056830135679017,1.082417437725975,15,1024,COMPLETE
90,1.97072813,2026-03-28 19:29:05.139192,2026-03-28 19:57:53.162810,0 days 00:28:48.023618,128,0.0005058147459847362,0.3688030282331518,0.39953654691607304,0.0001816110840477493,1.7319029776637171,13,1024,COMPLETE
91,1.98467379,2026-03-28 19:57:53.176038,2026-03-28 20:27:52.094199,0 days 00:29:58.918161,64,0.00039068791026765457,0.15998202919094498,0.6009942906295007,0.0003288388009129441,1.2055867738217867,12,1024,COMPLETE
92,2.85914307,2026-03-28 20:27:52.106710,2026-03-28 20:58:13.516199,0 days 00:30:21.409489,64,0.0006044549591933889,0.14198536749271723,0.3170408278288194,0.00026314574371253134,1.4233204294807027,13,1024,COMPLETE
93,2.7916445500000004,2026-03-28 20:58:13.530978,2026-03-28 21:29:08.193392,0 days 00:30:54.662414,64,0.0001223614090484231,0.10010265175118246,0.3281734024243271,0.0002675515335212852,1.4038598118881485,13,1024,COMPLETE
94,2.80082713,2026-03-28 21:29:08.206582,2026-03-28 22:02:14.736177,0 days 00:33:06.529595,64,0.0001282180839367711,0.11672904024839628,0.31720967385101373,0.0002603252997765129,1.3799153809798077,13,1024,COMPLETE
